company_location,salary,n
US,144055.26197183097,355
CA,99823.73333333334,30
DE,81887.21428571429,28
GB,81583.0425531915,47
FR,63970.666666666664,15
ES,53060.142857142855,14
GR,52293.09090909091,11
IN,28581.75,24
